No,N,E,Depth,Catchment,Setting,Rocks,cS,mS,fS,cSl,mSl,fSl,C,Sl_C,Sl,S,tot,BD,por,Ks_ret,ths,thr,alpha,n,tau,Ks,pH
300.3,99126.58,53756.44,0.01,Colpach,Deciduous F.,38.58932462,1.042959343,0.066764726,0.604209873,7.659253113,16.72530782,21.04992012,31.99171028,77.42619133,45.43448105,1.713933942,79.14012527,0.88,0.67,0.170123843,0.71,0.037,3.66,1.317,1.007,3.52333E-05,3.03
453.3,99126.58,53756.44,0.01,Colpach,Deciduous F.,23.54353044,0.530376618,0.167498999,1.261840353,8.928909355,17.5331311,20.17121795,39.04368545,85.67694386,46.6332584,1.959715971,87.63665983,0.74,0.72,1.155642361,0.721,0,3.76,1.237,3.48,0.000096925,3.24
257.3,99126.58,53756.44,0.02,Colpach,Deciduous F.,38.36154138,0.097171326,0.054603444,0.709540979,9.857287871,19.9259921,20.2166896,32.16171404,82.16168362,49.99996957,0.86131575,83.02299937,0.95,0.64,1.643208333,0.717,0,4.93,1.216,3.604,0.0000212,3.13
248.3,99126.58,53756.44,0.1,Colpach,Deciduous F.,22.51857749,0.233957877,0.025817048,0.837585654,12.2458961,20.44471543,24.17779487,40.26143619,97.1298426,56.86840641,1.097360579,98.22720318,0.91,0.66,1.500761574,0.691,0,4.67,1.224,0.41,0.000436,3.65
465.3,99126.58,53756.44,0.11,Colpach,Deciduous F.,42.18680995,0.354467507,0.045837586,0.714998597,12.87446531,21.15890385,22.95013381,40.15340484,97.1369078,56.98350296,1.115303689,98.25221149,1.09,0.59,0.781988426,0.626,0,6.3,1.218,-0.991,0.000123,3.68
470.3,99126.58,53756.44,0.11,Colpach,Deciduous F.,34.3190319,0.156410976,0.015697666,0.629751829,13.73122127,21.66100155,23.58337252,42.66977008,101.6453654,58.97559534,0.801860471,102.4472259,0.91,0.66,3.99862963,0.668,0,11.55,1.207,-0.025,0.000300333,3.64
460.3,99126.58,53756.44,0.21,Colpach,Deciduous F.,23.19846887,0.408337265,0.154722387,0.99243749,8.369253112,20.36155952,22.17308617,40.75934957,91.66324836,50.9038988,1.555497141,93.21874551,0.9,0.66,1.374739583,0.686,0,8.4,1.231,-0.861,0.000170667,3.67
474.3,99126.58,53756.44,0.22,Colpach,Deciduous F.,29.36096718,0.430491473,0.077481698,0.786562468,13.73956301,20.33177758,23.593189,40.45537996,98.11990955,57.66452959,1.29453564,99.41444519,0.81,0.69,3.558207176,0.623,0,11.37,1.222,0.098,0.002006667,3.77
296.3,99126.58,53756.44,0.22,Colpach,Deciduous F.,27.23509934,0.967867954,0.06105202,0.907430245,15.33929282,18.96896088,21.52550968,35.69699626,91.53075964,55.83376338,1.936350218,93.46710986,0.92,0.65,0.006532407,0.602,0,5.98,1.22,-2,0.000449,3.81
246.3,99126.58,53756.44,0.32,Colpach,Deciduous F.,31.88830902,0.659441635,0.046809321,0.71287,13.71565502,19.62489415,22.54841245,39.87181346,95.76077508,55.88896162,1.419120956,97.17989604,1.27,0.52,0.002149306,0.75,0,0.58,1.313,-1.322,0.000602667,4.06
287.3,99126.58,53756.44,0.33,Colpach,Deciduous F.,46.2301061,0.938652326,0.071884347,0.780282301,14.40189356,19.69375212,21.87078255,41.33008524,97.29651347,55.96642823,1.790818974,99.08733244,1.21,0.54,1.531581019,0.513,0,12.82,1.162,-2,0.00253,4.08
254.3,99126.58,53756.44,0.39,Colpach,Deciduous F.,36.86328362,0.483449011,0.029313312,0.88952634,11.9704533,21.1342749,22.55449818,42.47143884,98.13066523,55.65922638,1.402288662,99.53295389,1.26,0.52,8.201793981,0.515,0,3.06,1.206,4.248,0.000223,4.03
252.3,99126.58,53756.44,0.39,Colpach,Deciduous F.,35.27451385,0.447294884,0.058675981,2.15136047,14.44166334,20.14341514,24.13880327,43.36660864,102.0904904,58.72388175,2.657331335,104.7478217,1.17,0.56,0.356355324,0.527,0,4.3,1.217,-2,0.000497,3.95
462.3,99126.58,53756.44,0.4,Colpach,Deciduous F.,36.18786605,0.445299558,0.05423473,0.955676168,11.75500627,21.62024314,22.29287293,44.137326,99.80544835,55.66812235,1.455210456,101.2606588,1.07,0.6,1.206361111,0.54,0,7.17,1.189,-2,0.00101625,4.05
